img,bank,card_name,card_type,required_income,required_applicant,cashback_rate,cashback_cap,cashback_benchmark,cashback_category,cashback_from,cashback_till,cashback_weekends_only,cashback_monthly_basis,cashback_single_receipt
https://ringgitplus.com/img/card-400/54d89ae8aff7f54d6702664b/public-islamic-bank-mastercard-gold-credit-card-i.jpg,public_bank,public_islamic_bank_mastercard_gold_credit_card_i,mastercard,2000.0,Anybody,0.1,10000000000,from RM1 and above monthly,on retail purchases locally and overseas,1.0,,False,True,False
https://ringgitplus.com/img/card-400/58e1c10e6b5269dd048aeaeb/public-bank-quantum-mastercard.jpg,public_bank,public_bank_quantum_mastercard,mastercard,3000.0,Anybody,5.0,30,any amount,online shopping,0.0,,False,False,False
https://ringgitplus.com/img/card-400/519489e2193821ed4a00011a/public-bank-gold-visa.jpg,public_bank,public_bank_gold_visa,visa,2000.0,Anybody,0.1,10000000000,from RM1 and above monthly,on retail purchases locally and overseas,1.0,,False,True,False
https://ringgitplus.com/img/card-400/519489e2193821ed4a000120/public-bank-visa-infinite.jpg,public_bank,public_bank_visa_infinite,visa,8333.33,Anybody,0.3,80,from RM1 and above monthly,on retail purchases locally,1.0,,False,True,False
https://ringgitplus.com/img/card-400/519489e2193821ed4a000120/public-bank-visa-infinite.jpg,public_bank,public_bank_visa_infinite,visa,8333.33,Anybody,2.0,80,from RM1 and above monthly,on retail purchase overseas,1.0,,False,True,False
https://ringgitplus.com/img/card-400/519489e2193821ed4a000119/public-bank-gold-mastercard.jpg,public_bank,public_bank_gold_mastercard,mastercard,2000.0,Anybody,0.1,10000000000,from RM1 and above monthly,on retail purchases locally and overseas,1.0,,False,True,False
https://ringgitplus.com/img/card-400/5bd7cfde3d6823080f31967c/rhb-cash-back-visa-credit-card.jpg,rhb,rhb_cash_back_visa_credit_card,visa,2000.0,Anybody,0.2,10,from RM1 up to RM999 monthly,online food and grocery delivery,1.0,999.0,False,True,False
https://ringgitplus.com/img/card-400/5bd7cfde3d6823080f31967c/rhb-cash-back-visa-credit-card.jpg,rhb,rhb_cash_back_visa_credit_card,visa,2000.0,Anybody,0.2,10,from RM1 up to RM999 monthly,"petrol, dining, utility and grocery",1.0,999.0,False,True,False
https://ringgitplus.com/img/card-400/5bd7cfde3d6823080f31967c/rhb-cash-back-visa-credit-card.jpg,rhb,rhb_cash_back_visa_credit_card,visa,2000.0,Anybody,0.2,10000000000,from RM1 and above monthly,other spend,1.0,,False,True,False
https://ringgitplus.com/img/card-400/5bd7d7d0fea5d39b106cd0a5/rhb-islamic-cash-back-credit-card-i.jpg,rhb,rhb_islamic_cash_back_credit_card_i,,2000.0,Anybody,0.2,10,from RM1 up to RM999 monthly,online food and grocery delivery,1.0,999.0,False,True,False
https://ringgitplus.com/img/card-400/5bd7d7d0fea5d39b106cd0a5/rhb-islamic-cash-back-credit-card-i.jpg,rhb,rhb_islamic_cash_back_credit_card_i,,2000.0,Anybody,0.2,10,from RM1 up to RM999 monthly,"petrol, dining, utility and grocery",1.0,999.0,False,True,False
